S.No.,HSCode,Commodity,2020-2021,%Share,2021-2022,%Share,%Growth
4257,44119229,OTHER BOARD,9.23,0.0023,10.47,0.0017,13.49
4258,44119319,OTHER BOARD,0.11,0,0.17,0,53.29
4259,44119329,OTHER BOARD,0.58,0.0001,0.58,0.0001,0.24
4260,44119419,OTHER BOARD,0.02,0,,,
4261,44119429,OTHER BOARD,4.73,0.0012,6.46,0.0011,36.76
4262,44121000,OF BAMBOO,0.12,0,0.03,0,-74.02
4263,44123110,DECORATIVE PLYWOOD,6.42,0.0016,9.75,0.0016,51.91
4264,44123120,"TEA CHEST PANELS/SHOOKS,PACKED IN SETS.",0.01,0,,,
4265,44123140,MARINE AND AIRCRAFT PLYWOOD,0.66,0.0002,0.56,0.0001,-14.71
4266,44123190,OTHERS,25.11,0.0064,39.47,0.0064,57.16
4267,44123310,DECORATIVE PLYWOOD,1.79,0.0005,2.85,0.0005,59.08
4268,44123330,MARINE AND AIRCRAFT PLYWOOD,,,,,
4269,44123340,CUTTING AND TRIMMINGS OF PLYWOOD OF WIDTH NOT EXCEEDING 5 CM,0.04,0,,,
4270,44123390,OTHER,11.84,0.003,15.64,0.0026,32.11
4271,44123440,CUTTING AND TRIMMINGS OF PLYWOOD OF WIDTH NOT EXCEEDING 5 CM,0,0,,,
4272,44123490,OTHER,0.16,0,,,
4273,44123910,DECORATIVE PLYWOOD,0.15,0,0.23,0,51.76
4274,44123940,CUTTING AND TRIMMINGS OF PLYWOOD OF WIDTH NOT EXCEEDING 5 CM,0,0,,,
4275,44123990,OTHER,2.82,0.0007,4.5,0.0007,59.31
4276,44129400,"*BLOCKBOARD, LAMINBOARD AND BATTENBOARD",0.59,0.0001,0.24,0,-58.91
4277,44129910,DECORATIVE PLYWOOD,0.55,0.0001,1.52,0.0002,175.2
4278,44129930,MARINE AND AIRCRAFT PLYWOOD,0,0,,,
4279,44129990,OTHER,31.46,0.008,28.93,0.0047,-8.03
4280,44130000,DENSIFIED WOOD IN BLOCKS PLATES STRIPS OR PROFILE SHAPES,2.83,0.0007,3.87,0.0006,36.78
4281,44140000,*WOODEN FRAMES FOR PAINTINGS PHOTOGRAPHS MIRRORS OR SIMILAR OBJECTS,0.41,0.0001,0.98,0.0002,138.06
4282,44151000,CASES BOXES CRATES DRUMS AND SMLR PACKINGS CABLE-DURMS OF WOOD,2.24,0.0006,1.67,0.0003,-25.4
4283,44152000,"PALETS,PALETS(BOX,COLRS) AND OTHR LOAD BORDSOF WOOD",8.31,0.0021,13.7,0.0022,64.96
4284,44160010,"CASES,BARRELS,VATS AND TUBS",1.31,0.0003,1.8,0.0003,37.38
4285,44160020,OTHER COOPERS PRODUCTS,,,0,0,
4286,44160091,RIVEW OR SSWN STAVES OF WOOD NOT FURTHER PREPARED,0.01,0,,,
4287,44160099,OTHERS,1.75,0.0004,0.14,0,-92.19
4288,44170000,"TOOLS,TOOL BODIES,TOOL HANDLES BROOM OR BRUSH BODIES AND HANDLES, OR WOOD BOOT OR SHOE LASTS AND TREES,OF WOOD",3.32,0.0008,3.44,0.0006,3.61
4289,44181000,*WINDOWS FRENCH WINDOWS AND THEIR FRAMES,0.56,0.0001,0.07,0,-87.13
4290,44182010,*FLUSH DOORS,0.34,0.0001,0.67,0.0001,99.02
4291,44182020,*FRAMES AND THRESHOLD OF FLUSH DOORS,0.61,0.0002,0.53,0.0001,-13.28
4292,44182090,*OTHERS,12.3,0.0031,12.03,0.002,-2.16
4293,44184000,SHUTTERNG FOR CONCRETE CONSTRUCTIONAL WORK,2.07,0.0005,5.26,0.0009,153.97
4294,44186000,*POSTS AND BEAMS,1.51,0.0004,2.06,0.0003,36.26
4295,44187300,OF BAMBOO OR WITH AT LEAST THE TOP LAYER (WEAR LAYER) OF BAMBOO,0,0,,,
4296,44187400,"OTHER, FOR MOSAIC FLOORS",0.05,0,0.11,0,140.44
4297,44187500,"OTHER, MULTILAYER",1.74,0.0004,3.97,0.0006,128.39
4298,44187900,OTHER,7.4,0.0019,12.75,0.0021,72.26
4299,44189100,OF BAMBOO,,,0.04,0,
4300,44189900,OTHER,6.3,0.0016,9.97,0.0016,58.18
4301,44191100,"BREAD BOARDS, CHOPPING BOARDS AND SIMILAR BOARDS",0.86,0.0002,1.87,0.0003,118.35
4302,44191200,CHOPSTICKS,0.01,0,0.04,0,357.65
4303,44191900,OTHER,0.49,0.0001,0.83,0.0001,69.28
4304,44199010,"BREAD BOARDS, CHOPPING BOARDS AND SIMILAR BOARDS",0.19,0,0.32,0.0001,65.97
4305,44199020,CHOPSTICKS,0.02,0,0.04,0,180.39
4306,44199090,OTHER,3.64,0.0009,8.18,0.0013,124.54
4307,44201000,*STATUETS AND OTHR ORNAMNTS OF WOOD,0.33,0.0001,0.29,0,-11.95
4308,44209010,WOOD MARQUETRY AND INLAID WOOD,0,0,0.11,0,"26,425.00"
4309,44209090,OTHERS,0.73,0.0002,1.2,0.0002,64.62
4310,44211000,CLOTHS HANGERS,0.57,0.0001,1.4,0.0002,148.2
4311,44219111,FOR COTTON MACHINERY,,,,,
4312,44219112,FOR JUTE MACHINERY,,,0,0,
4313,44219114,FOR OTHER MACHINERY,0.17,0,0.08,0,-50.8
4314,44219119,OTHER,0.04,0,0.12,0,175.41
4315,44219130,MATCH SPLINTS,1.04,0.0003,0.58,0.0001,-44.39
4316,44219140,PENCIL SLATS,1.28,0.0003,0.87,0.0001,-32.27
4317,44219150,"PARTS OF WOOD, NAMELY OARS, PADDLES AND RUDDERS FOR SHIPS, BOATS AND OTHER SIMILARFLOATING STRUCTURES",0,0,,,
4318,44219160,PARTS OF DOMESTIC DECORATIVE ARTICLES USED AS TABLEWARE AND,0.01,0,0.02,0,181.94
4319,44219170,ARTICLES OF DENSIFIED WOOD NOT INCLUDED OR SPECIFIED ELSEWHERE,0.08,0,0.21,0,167.59
4320,44219190,OTHER,2.4,0.0006,2.76,0.0005,14.95
4321,44219911,FOR COTTON MACHINERY,0.01,0,0,0,-84.78
4322,44219914,FOR OTHER MACHINERY,0,0,0,0,-90
4323,44219919,OTHER,0.13,0,0.33,0.0001,148.25
4324,44219920,WOOD PAVING BLOCKS,0.27,0.0001,0.51,0.0001,88.88
4325,44219930,MATCH SPLINTS,0.11,0,0.88,0.0001,696.01
4326,44219940,PENCIL SLATS,1.08,0.0003,0.34,0.0001,-68.9
4327,44219950,"PARTS OF WOOD, NAMELY OARS, PADDLES AND RUDDERS FOR SHIPS,",,,0,0,
4328,44219960,PARTS OF DOMESTIC DECORATIVE ARTICLES USED AS TABLEWARE AND,0.14,0,0.03,0,-78.54
4329,44219970,ARTICLES OF DENSIFIED WOOD NOT INCLUDED OR SPECIFIED ELSEWHERE,0.39,0.0001,0.88,0.0001,125.06
4330,44219990,OTHER,6.99,0.0018,12.36,0.002,76.93
4331,45011000,NATURAL CORK RAW OR SIMPLY PREPARED,0.16,0,0.14,0,-10.21
4332,45019000,OTHER NATURAL CORK,3.76,0.001,4.42,0.0007,17.75
4333,45020000,NATURAL CORK DEBACKED/ROUGHLY SQUARED/ RECTANGULAR/SQUARE BLOKS PLTS SHEETS/ STRIP(INCL SHRP EDGD BLNK FR CRKS OR,0,0,0.01,0,161.54
4334,45031000,CORKS AND STOPPERS,0.09,0,0.43,0.0001,368.21
4335,45039010,SHUTTLECORK CORK BOTTOM,0.03,0,0.12,0,324.91
4336,45039090,OTHERS ARTICLES OF NATURAL CORK ETC,0.11,0,0.24,0,115.41
4337,45041010,SHEETS,0.7,0.0002,1.58,0.0003,125.69
4338,45041020,SLABS,0.01,0,0,0,-72.29
4339,45041090,OTHERS,0.31,0.0001,1.02,0.0002,229.68
4340,45049000,OTHR AGGLOMERATED CORKS,0.26,0.0001,0.46,0.0001,79.64
4341,46012100,OF BAMBOO,0.41,0.0001,0.46,0.0001,9.96
4342,46012200,OF RATTAN,0.09,0,0.24,0,151.59
4343,46012900,OTHER,0.11,0,0.03,0,-70.68
4344,46019200,OF BAMBOO,0.09,0,0.01,0,-89.41
4345,46019300,OF RATTAN,0.39,0.0001,1.21,0.0002,208.19
4346,46019400,OF OTHER VEGETABLE MATERIALS,0,0,0.03,0,"5,920.00"
4347,46019900,OTHR PLAITING MATERIALS (EXCL VEG MATERLS),0.52,0.0001,0.9,0.0001,73.25
4348,46021100,OF BAMBOO,0.37,0.0001,0.61,0.0001,65.92
4349,46021200,OF RATTAN,0.09,0,0.47,0.0001,431.46
4350,46021911,PALM LEAF BASKET ETC.,0.07,0,0.18,0,173.6
4351,46021919,PALM LEAF ITEMS OTHER THEN BASKETS,0.23,0.0001,0.49,0.0001,110.81
4352,46021990,OTHERS,1.18,0.0003,1.65,0.0003,40.66
4353,47010000,MECHANICAL WOOD PULP,3.9,0.001,0.92,0.0002,-76.41
4354,47020000,CHEMICAL WOOD PULP DISSOLVING GRADES,333.95,0.0847,682.68,0.1114,104.42
4355,47031100,"CHEMICAL WOOD PULP UNBLCD CONFRS,SULPHATE",11.17,0.0028,27.24,0.0044,143.97
4356,47031900,"CHEMICAL WOOD PULP UNBLCD N-CONIFRS,SLPHTE",23.98,0.0061,28.83,0.0047,20.22
4357,47032100,BLEACHED OR SEMI-BLEACHED CONIFEROUS CHEMICAL WOOD PULP SULPHATE,159.83,0.0405,260.67,0.0425,63.09
4358,47032900,BLEACHED OR SEMI-BLEACHED NON-CONIFEROUS CHEMICAL WOOD PULP SULPHATE,167.66,0.0425,260.79,0.0425,55.55
4359,47041100,UNBLCD CONFRS CHMCAL WOOD PULP SULPHITE,0.24,0.0001,0.65,0.0001,167.27
4360,47042100,SEMI-BLEACHED/BLEACHED CONIFEROUS CHMCAL WOOD PULP SULPHITE,0.27,0.0001,0.27,0,-0.69
4361,47042900,SEMI-BLEACHED/BLEACHED NON-CONIFEROUS CHMICAL WOOD PULP SULPHITE,1.18,0.0003,1.42,0.0002,20.07
4362,47050000,WOOD PULP OBTAINED BY COMBINATION OF MECHANICAL AND CHEMICAL PULP PROCESS,143.67,0.0364,326.07,0.0532,126.96
4363,47061000,COTTON LINTERS PULP,2.58,0.0007,3.06,0.0005,18.54
4364,47062000,PULPS OF FIBRES DERIVED FROM RECOVERED (WASTE AND SCRAP) PAPER AND PAPERBOARD,0.82,0.0002,5.05,0.0008,516.45
4365,47063000,"OTHER, OF BAMBOO",0.36,0.0001,0.5,0.0001,37.9
4366,47069100,OTHER MECHANICAL PULP,0.83,0.0002,1.16,0.0002,39.57
4367,47069200,OTHER CHEMICAL PULPS,0.52,0.0001,1.12,0.0002,115.33
4368,47069300,OTHER SEMI-CHEMICAL PULP,0.13,0,0.09,0,-28.89
4369,47071000,WSTE AND SCRP OF UNBLECHD KRAFT PAPR OR PAPRBORD OR CORGTD PAPR/PAPRBORD,216.89,0.055,407.5,0.0665,87.88
4370,47072000,WSTE AND SCRP OF OTHR PAPR/PAPRBORD MADE OF BLECHD CHEM PULP NT COLORD,18.5,0.0047,63.55,0.0104,243.51
4371,47073000,WSTE AND SCRP OF OTHR PAPR/PAPRBORD MADE OF MECHANICL PULP(E.G.NEWSPAPR JRNS ETC),41.78,0.0106,52.32,0.0085,25.2
4372,47079000,OTHR INCL UNSORTED WASTE AND SCRAP,838.71,0.2126,"1,327.77",0.2166,58.31
4373,48010010,GLAZED NEWSPRINT,6.38,0.0016,5.02,0.0008,-21.33
4374,48010090,OTHER NEWSPRINTS,287.71,0.0729,339.72,0.0554,18.08
4375,48021010,HAND MADE PAPER,2.14,0.0005,0.53,0.0001,-75.07
4376,48021020,HAND-MADE PAPERBOARD,0.19,0,0.28,0,52.1
4377,48022010,PHOTOGRAPHIC BASE PAPER UNCOATED,0.62,0.0002,0.15,0,-75.6
4378,48022090,OTHERS,21.24,0.0054,26.83,0.0044,26.32
4379,48024000,WALPAPER BASE,0.13,0,0.41,0.0001,202.6
4380,48025410,INDIA PAPER,0.03,0,0.32,0.0001,"1,092.99"
4381,48025420,LITHO AND OFFSET PAPER,2.05,0.0005,2.38,0.0004,16
4382,48025430,DUPLICATING PAPER,0.46,0.0001,0.8,0.0001,73.79
4383,48025450,*TISSUE PAPER,0.53,0.0001,,,
4384,48025510,LITHO AND OFFSET PAPER,3.43,0.0009,4.47,0.0007,30.23
4385,48025520,DRAWING PAPER,0.12,0,0.33,0.0001,168.45
4386,48025530,DUPLICATING PAPER,,,0,0,
4387,48025540,ACCOUNT BOOK PAPER,,,0.15,0,
4388,48025550,"BANK,BOND AND CHEQUE PAPER",0,0,0,0,42.86
4389,48025560,CURRENCY NOTE PAPER,0,0,,,
4390,48025590,OTHER PAPER,32.51,0.0082,36.02,0.0059,10.79
4391,48025610,LITHO AND OFFSET PAPER,1.71,0.0004,0.09,0,-94.61
4392,48025620,DRAWING PAPER,0.49,0.0001,0.03,0,-94.23
4393,48025630,DUPLICATING PAPER,,,,,
4394,48025640,ACCOUNT BOOK PAPER,,,0.01,0,
4395,48025690,OTHER PAPER,5.53,0.0014,3.05,0.0005,-44.9
4396,48025710,LITHO AND OFFSET PAPER,3.68,0.0009,2.48,0.0004,-32.63
4397,48025720,DRAWING PAPER,0.03,0,0,0,-99.32
4398,48025730,DUPLICATING PAPER,,,,,
4399,48025740,ACCOUNT BOOK PAPER,,,0.02,0,
4400,48025760,CURRENCY NOTE PAPER,,,,,
4401,48025770,"PAPER FOR SECURITY PRINTING,CURRENCY PAPERSTAMP PAPER",1.79,0.0005,0.46,0.0001,-74.24
4402,48025790,OTHER PAPER,29.07,0.0074,26.57,0.0043,-8.61
4403,48025810,LITHO AND OFFSET PAPER,0.74,0.0002,1.32,0.0002,77.73
4404,48025820,DRAWING PAPER.,0.13,0,0.09,0,-32.94
4405,48025830,DUPLICATING PAPER,,,0,0,
4406,48025890,OTHER,4.53,0.0011,6.29,0.001,38.78
4407,48026110,DRAWING PAPER,0.24,0.0001,1.95,0.0003,726.14
4408,48026120,POSTER PAPER,0.15,0,0.09,0,-40.68
4409,48026130,PRINTING PAPER DYED/MARBLED IN MASS,0,0,,,
4410,48026150,AUTOMATIC DATA PROCESSING MACHINE PAPER,0.01,0,,,
4411,48026190,OTHER,14.8,0.0038,14.01,0.0023,-5.33
4412,48026210,DRAWING PAPER,0.04,0,0,0,-95.41
4413,48026220,POSTER PAPER,0.02,0,0,0,-94.98
4414,48026250,AUTOMATIC DATA PROCESSING MACHINE PAPER,,,,,
4415,48026290,OTHER,0.05,0,0.01,0,-76.12
4416,48026910,DRAWING PAPER,0.03,0,0.02,0,-29.67
4417,48026920,POSTER PAPER,0.02,0,0,0,-97.87
4418,48026930,PRINTING PAPER DYED/MARBLED IN MASS,0.11,0,0.07,0,-40.38
4419,48026940,ACCOUNTING BOOK PAPER,0,0,,,
4420,48026950,AUTOMATIC DATA PROCESSING MACHINE PAPER,0,0,,,
4421,48026990,OTHER,0.3,0.0001,0.28,0,-6.98
4422,48030010,TISSUE PAPER FOR HOUSE HOLD/SANITARY PUR- PPOSE IN COMMERCIAL SIZEROOLS OF WIDTH>=36 C.M.,1.6,0.0004,2.23,0.0004,39.9
4423,48030090,OTHER TISSUE PAPER,8.61,0.0022,9.96,0.0016,15.71
4424,48041100,KRFT LINER UNBLEACHED,17.85,0.0045,24.23,0.004,35.69
4425,48041900,OTHER KRAFT LINER,29.17,0.0074,29.71,0.0048,1.84
4426,48042100,SACK KRAFT PAPER UNBLEACHED,10,0.0025,11.74,0.0019,17.42
4427,48042900,OTHER SACK KRAFT PAPER,9.39,0.0024,9.2,0.0015,-2.06
4428,48043100,OTHER CRAFT PAPER AND PAPERBOARD WEIGHING 150 G/M2 OR LESS UNBLEACHED,9.73,0.0025,14.27,0.0023,46.62
4429,48043900,OTHR CRFT PAPR AND PAPRBORD WGHNG<=150G/M2,53.44,0.0135,69.56,0.0113,30.16
4430,48044100,OTHR KRFT PAPR/PAPRBORD WEING MORE THAN 150G/M2 BUT LESS THAN 225G/M2 UNBLEACHED,7.01,0.0018,6.99,0.0011,-0.37
4431,48044200,OTHR KRFT PAPR/PAPRBIRD WEING > 150 G/M2 BUT<225G/M2 BLCHD UNIFORMLY WITH 95% FIBRE CONTNG WOOD FIBR FROM CHM PROC,1.6,0.0004,1.2,0.0002,-24.76
4432,48044900,OTHR KRFT PAR AND PAPRBORD WEING ABOVE 150G/M2 BUT BELOW 225G/M2,3.37,0.0009,2.75,0.0004,-18.3
4433,48045100,KRFT PAPR/PAPRBORD WEING/225G/M2 UNBLCHD,2.95,0.0007,6.65,0.0011,125.17
4434,48045200,OTHR KRFT PAPR AND PAPRBORD WEING>=225G/M2 BLECHD UNIFORMLY 95 PRCNT OF THE FBRS ARE WOOD FIBR FROM CHM PROCESS,2.58,0.0007,6.14,0.001,138.61
4435,48045900,OTHR KRFT PAPR/PAPRBORD WEING 225G/M2/MORE,16.78,0.0043,25.03,0.0041,49.21
4436,48051100,SEMI-CHEMICAL FLUTING PAPER,4.43,0.0011,7.58,0.0012,71.36
4437,48051900,OTHER FLUTING PAPER,1.59,0.0004,2.27,0.0004,42.12
4438,48052400,TESTLINER(RECYCLED LINER BORD) OF WT<=150 G/M2,3.98,0.001,3.85,0.0006,-3.18
4439,48052500,TESTLINER(RECYLED LINER BORD)OF WT>250 G /M2,6.23,0.0016,9.09,0.0015,45.95
4440,48053000,SULPHITE WRAPPING PAPR,0.01,0,0.05,0,285.27
4441,48054000,FILTER PAPER AND PAPERBOARD,10.5,0.0027,12.13,0.002,15.58
4442,48055000,FELT PAPER AND PAPERBOARD,0.02,0,0.09,0,512.42
4443,48059100,OTHER UNCOATED PAPR AND PARPBORD OF WT<=150 G/M2,68.41,0.0173,102.41,0.0167,49.71
4444,48059200,OTHER UNCOATED PAPR AND PAPRBORD OF WT< 150 G/M2 SUT <225 G/M2,24.02,0.0061,37.51,0.0061,56.12
4445,48059300,OTHER UNCOATED PAPR AND PAPRBORD OF WT>=225 G/M2,7.35,0.0019,10.54,0.0017,43.43
4446,48061000,VEGETABLE PARCHMENT PAPER,1.57,0.0004,1.77,0.0003,12.98
4447,48062000,GREASEPROOF PAPERS,2.58,0.0007,4.11,0.0007,59.41
4448,48063000,TRACING PAPERS,1.35,0.0003,2.24,0.0004,65.67
4449,48064010,GLASSINE PAPER,52.28,0.0133,79.9,0.013,52.84
4450,48064090,OTHERS (E.G. VELLUM),2.05,0.0005,1.21,0.0002,-40.75
4451,48070010,"STRAW PAPER AND OTHER STRAW BORD,WON COVRD WITH PAPER OTHER THAN STRAW PAPER",,,0.07,0,
4452,48070090,OTHER,2.67,0.0007,2.98,0.0005,11.54
4453,48081000,CORRUGATED PAPR/PAPRBORD W/N PERFORATED,0.29,0.0001,0.15,0,-46.68
4454,48084010,"SACK KRAFT PAPER, CREPED OR CRINKLED, WHETHER OR NOT EMBOSSED OR PERFORATED",0.44,0.0001,0.3,0,-33.2
4455,48084090,"OTHER KRAFT PAPER, CREPED OR CRINKLED, WHETHER OR NOT EMBOSSED OR PERFORATED",0.98,0.0002,0.82,0.0001,-16.24
4456,48089000,OTHER PAPER AND PAERBORD CORRUGATED,6.87,0.0017,12.62,0.0021,83.68
4457,48092000,SELF COPY PAPER,1.05,0.0003,1.59,0.0003,50.52
4458,48099000,OTHER COPYING OR TRANSFER PAPERS,3.07,0.0008,4.01,0.0007,30.73
4459,48101310,IMITATION ART PAPER,0.71,0.0002,0.91,0.0001,28.71
4460,48101320,ART PAPER,24.52,0.0062,41.63,0.0068,69.76
4461,48101330,CHROME PAPER OR PAPERBOARD,34.34,0.0087,49.81,0.0081,45.07
4462,48101390,OTHER,68.41,0.0173,81.66,0.0133,19.37
4463,48101410,IMITATION PAPER,0.01,0,0,0,-93.06
4464,48101420,ART PAPER,,,0.03,0,
4465,48101430,CHROME PAPER OR PAPERBORD,0.25,0.0001,0.37,0.0001,50.16
4466,48101490,OTHER,1.05,0.0003,1.05,0.0002,-0.24
4467,48101910,IMITATION ART PAPER,0.21,0.0001,0.02,0,-92.11
4468,48101920,ART PAPER,30.54,0.0077,41.23,0.0067,35
4469,48101930,CHROME PAPER OR PAPRBOARD,0.87,0.0002,0.89,0.0001,3.13
4470,48101990,OTHER,86.87,0.022,100.73,0.0164,15.96
4471,48102200,LIGHT-WEIGHT COATED PAPER OTHR GRAPHC PRPS OUT OF TOTL FIBR CONTNT FIBR OBTND BY MCH PROCS>10% BY WEIGHT,26.31,0.0067,34.92,0.0057,32.69
4472,48102900,OTHR PAPR AND PAPRBORD FR WRTNG ETC OF WHCH >=10% BY WT OF TOTL FBRS CNTNT CNSSTS OF FIBRS OBTND BY A MCHNCL PRCSS,33.56,0.0085,55.14,0.009,64.31
4473,48103100,KRFT PAPR AND PAPRBORD OTHR THN FOR WRITNGETC BLECHD WOD FIBR FRM CH PROCS IS > 95% OF THE TOTL FIBRS AND WEIG,3.54,0.0009,3.48,0.0006,-1.84
4474,48103200,"KRFT PAPR AND PAPRBORD,OTHR THN FOR WRITNGPRNTNG ETC BLECHD, WOOD CONTNG FIBR FRM CHPROCS IS MORE THN 95 PRCNT OF",8.45,0.0021,0.04,0,-99.53
4475,48103910,INSULATING PAPER,4.72,0.0012,6.89,0.0011,46.06
4476,48103920,ELECTRIC INSULATING PRESS BOARD KG,4.58,0.0012,3.75,0.0006,-18.18
4477,48103930,INSULATION BOARDS (HOMOGENEOUS),0,0,0.01,0,385.19
4478,48103990,OTHERS,17.73,0.0045,39.07,0.0064,120.36
4479,48109200,MULTIPLY PAPR AND PAPRBORD,32.14,0.0081,26.66,0.0043,-17.03
4480,48109900,OTHR COATED PAPR AND PPRBRD (NOT MLTIPLY),12.8,0.0032,14.91,0.0024,16.46
4481,48111000,TARD BITUMINISD/ASPHALTD PAPR AND PAPRBORD,0.23,0.0001,0.32,0.0001,41.13
4482,48114100,SELF ADHESIVE PAPER AND PAPRBOARD,59,0.015,82.68,0.0135,40.15
4483,48114900,OTHR GUMMED OR ADHESIVE PAPR AND PAPRBORD,11.38,0.0029,13.86,0.0023,21.74
4484,48115110,ASEPTIC PACKAGING PAPER,3.19,0.0008,2.49,0.0004,-22.06
4485,48115190,"OTHER BLEACHED PAPER, PAPERBOARD ETC. WEIGHING > 150GM/SQM",17.81,0.0045,27.94,0.0046,56.88
4486,48115910,ASEPTIC PACKAGING PAPER,8.11,0.0021,12.9,0.0021,59.1
4487,48115990,"OTHER PAPER, PAPERBOARD ETC. WEIGHING > 150GM/SQM",34.7,0.0088,48.31,0.0079,39.23
4488,48116000,"PAPER AND PAPERBOARD, COATED, IMPREGNATED OR COVERED WITH WAX, PARAFFIN WAX, STEARINE, OIL OR GLYCEROL",17.74,0.0045,22.24,0.0036,25.39
4489,48119011,HAND MADE PAPR AND PAPRBORD RULES LIND OR SQURD BUT NT OTHRWISE PRINTD,0.59,0.0001,0.84,0.0001,43.09
4490,48119012,CHROMO AND ART PAPER COATED,0.32,0.0001,0.3,0,-6.05
4491,48119013,BUILDING BOARD OF PAPR OR PULP IMPREGNATD,0.01,0,0.02,0,218.67
4492,48119014,CHORMO BOARD,0,0,,,
4493,48119015,RAW BASE PAPR FOR SENTISITISNG COATD,2.17,0.0006,2.06,0.0003,-4.88
4494,48119016,SURFACE MARBLED PAPER.,0.04,0,0.03,0,-26.24
4495,48119017,LEATHER BOARD AND IMITATN LEATHER BORD,0.74,0.0002,1.25,0.0002,70.41
4496,48119091,OTHER GRAPE GDARD PAPER,0.51,0.0001,0.62,0.0001,20.97
4497,48119093,THERMAL PAPER FOR FAX MACHINES,0.04,0,0.03,0,-18.41
4498,48119094,THERMAL PAPER IN JUMBO ROLLS,2.36,0.0006,1.89,0.0003,-19.84
4499,48119099,OTHERS,127.59,0.0323,167.92,0.0274,31.6
4500,48120000,FILTER BLOCKS SLABS AND PLATS OF PAPR PULP,6.27,0.0016,5.95,0.001,-5.1
4501,48131000,PAPR IN THE FORM OF BOOKLETS OR TUBES,0.41,0.0001,0.79,0.0001,94.26
4502,48132000,CIG PAPR IN ROLLS OF WIDTH NOT EXCDNG 5 CM,5.27,0.0013,4.91,0.0008,-6.86
4503,48139010,CIG PAPR IN BULK OR SHEETS,0.21,0.0001,0.25,0,23.93
4504,48139090,OTHERS,10.27,0.0026,10.93,0.0018,6.46
4505,48142000,WALPAPR AND SMLR WALCOVRNGS CONSTNG OF PAPR COATD/COVRD ON FACE SIDE WITH A GRAIND EMBOSD COLRD ETC/DECORATD LAYR OR,20.63,0.0052,38.14,0.0062,84.92
4506,48149000,OTHR WALLPAPER AND WALLCOVERINGS,3.48,0.0009,4.77,0.0008,37
4507,48162010,DUPLICATNG PAPRCUT TO SIZE,0.03,0,0.17,0,402.92
4508,48162020,PAPER F0R FAX MACHINE,0.01,0,,,
4509,48162090,OTHERS,0.66,0.0002,1.11,0.0002,68.16
4510,48169010,OTHER COPYNG OR TRNSFR PAPRS(EXCLUD PRNTD TRANSFER) CUT TO SIZE W/N PUT IN BOXES,0.07,0,0.02,0,-76
4511,48169020,CALCULATNG MACH PAPR IN ROLLS AND STRIPS NT EXCEDNG 15 CM IN WIDTH,0,0,,,
4512,48169090,OTHERS,0.67,0.0002,1.15,0.0002,72.04
4513,48171000,ENVELOPES,0.67,0.0002,0.85,0.0001,27
4514,48172000,"LTR CRDS,PLN POSTCRDS AND CORSPNDNCE CRDS",0.01,0,0.03,0,272.06
4515,48173010,WRITING BLOCKS,0.01,0,0,0,-6
4516,48173090,OTHR PAPR STATIONERY FR CORSPNDNCE CONTNG ONLY AN ASORTMNT OF PAPR STATIONRY,0.22,0.0001,0.29,0,27.75
4517,48181000,TOILET PAPER,0.93,0.0002,1.07,0.0002,15.26
4518,48182000,"HANDKERCHIPS,CLNG/FACIAL TISSU AND TOWELS",4.08,0.001,4.37,0.0007,7.1
4519,48183000,TABLECLOTHS AND SERVIETTES.,0.38,0.0001,0.39,0.0001,4.57
4520,48185000,ARTCLS OF APPAREL ANDCLOTHNG ACCESSORIES,0.16,0,0.44,0.0001,183.55
4521,48189000,"OTHR ARTCLS OF PAPR,PAPR PLP,CLLS WDNG ETC",6.99,0.0018,5.73,0.0009,-18.06
4522,48191010,BOXES OF CORRUGATED PAPER AND PAPER BOARD,20.93,0.0053,31.89,0.0052,52.35
4523,48191090,CARTNSANDCASES OF CORRUGATED PAPRANDPAPRBRD,10.63,0.0027,13.14,0.0021,23.57
4524,48192010,CARTNS/BOXES/CASES FOR PACKNG MATCH STICKSSTICKS,0.82,0.0002,1.44,0.0002,75.97
4525,48192020,BOXES OF NON-CRRUGATED PAPER AND PAPERBOARD,5.61,0.0014,9.88,0.0016,76.05
4526,48192090,FLONG CARTNSANDCASES OF NON-CRRGTD PAPRANDBRD,14.55,0.0037,24.83,0.0041,70.66
4527,48193000,"SACKS ,BAGS WIDTH OF BASE 40 CM AND ABOVE",4.21,0.0011,4.64,0.0008,10.12
4528,48194000,OTHR SACKS AND BAGS INCLUDNG CONES,7.85,0.002,9.41,0.0015,19.79
4529,48195010,OTHR PACKNG CONTNRS MADE OF CRRUGATED PAPER/PAPRBORD,0.1,0,0.07,0,-24.95
4530,48195090,OTHR PACKNS CONTNRS MADE OF OTHR MATERIALS,4.39,0.0011,5.61,0.0009,27.64
4531,48196000,BOX FILES LETR TRAYS STORGE BOXS AND SIMLR ARTCLS USD IN OFFCS SHOPS OR THE LIKE,0.33,0.0001,0.54,0.0001,64.62
4532,48201010,REGISTERS ACCOUNT BOOKS,0.02,0,0.07,0,227.5
4533,48201020,LETTER PADS,0.14,0,0.13,0,-9.65
4534,48201090,OTHERS,1.88,0.0005,3.22,0.0005,71.73
4535,48202000,EXERCESE BOOKS,0.13,0,0.22,0,74.94
4536,48203000,BINDERS FOLDERS AND FILE COVERS,0.23,0.0001,0.3,0,32.75
4537,48204000,"MANIFOLD BUSINES FORMS,INTRLVD CRBN SETS",0.03,0,0.11,0,224.77
